MsgID.STATE,1520429622.4273419,False,False
MsgID.STATE,1520429626.5162201,False,False
MsgID.GLOBAL_HOME,1520429626.5192282,-121.9939365,37.4137407,0.0000000
MsgID.LOCAL_POSITION,1520429626.5207322,-0.0580783,0.0857540,-0.0706257
MsgID.LOCAL_VELOCITY,1520429626.5207322,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429626.5232389,-121.9939355,37.4137402,0.0700000
MsgID.LOCAL_VELOCITY,1520429626.5232389,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429626.7683909,-0.0527361,-0.0368596,-0.0409809
MsgID.LOCAL_VELOCITY,1520429626.7683909,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429626.7703962,-121.9939369,37.4137402,0.0400000
MsgID.LOCAL_VELOCITY,1520429626.7703962,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429627.0185564,0.1404226,-0.0005898,-0.0037143
MsgID.LOCAL_VELOCITY,1520429627.0185564,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429627.0210633,-121.9939365,37.4137419,0.0030000
MsgID.LOCAL_VELOCITY,1520429627.0210633,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1520429627.2677195,-121.9939365,37.4137415,-0.0260000
MsgID.LOCAL_VELOCITY,1520429627.2677195,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429627.2697246,0.0855264,0.0000000,0.0267297
MsgID.LOCAL_VELOCITY,1520429627.2697246,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520429627.5153782,False,False
MsgID.GLOBAL_HOME,1520429627.5173833,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520429627.5193887,-121.9939365,37.4137407,-0.0530000
MsgID.LOCAL_VELOCITY,1520429627.5193887,0.0000000,0.0000000,0.0000000
